Channel,X,Y,Z
P1,-0.2956,-0.6979,0.6524
P2,0.2956,-0.6979,0.6524
F7h,-0.7796,0.611,0.1376
F8h,0.7796,0.611,0.1376
P7h,-0.7796,-0.611,0.1376
P8h,0.7796,-0.611,0.1376
F5h,-0.6481,0.6537,0.3907
F6h,0.6481,0.6537,0.3907
P5h,-0.6481,-0.6537,0.3907
P6h,0.6481,-0.6537,0.3907
F3h,-0.4299,0.6867,0.5862
F4h,0.4299,0.6867,0.5862
P3h,-0.4299,-0.6867,0.5862
P4h,0.4299,-0.6867,0.5862
F1h,-0.1505,0.7048,0.6933
F2h,0.1505,0.7048,0.6933
P1h,-0.1505,-0.7048,0.6933
P2h,0.1505,-0.7048,0.6933
FC3,-0.6647,0.3612,0.654
FC4,0.6647,0.3612,0.654
CP3,-0.6647,-0.3612,0.654
CP4,0.6647,-0.3612,0.654
FC5,-0.872,0.3373,0.3547
FC6,0.872,0.3373,0.3547
CP5,-0.872,-0.3373,0.3547
CP6,0.872,-0.3373,0.3547
FC1,-0.3589,0.3771,0.8538
FC2,0.3589,0.3771,0.8538
CP1,-0.3589,-0.3771,0.8538
CP2,0.3589,-0.3771,0.8538
FT7h,-0.9288,0.3235,0.1811
FT8h,0.9288,0.3235,0.1811
TP7h,-0.9288,-0.3235,0.1811
TP8h,0.9288,-0.3235,0.1811
FC5h,-0.7829,0.35,0.5143
FC6h,0.7829,0.35,0.5143
CP5h,-0.7829,-0.35,0.5143
CP6h,0.7829,-0.35,0.5143
FC3h,-0.5215,0.3703,0.7687
FC4h,0.5215,0.3703,0.7687
CP3h,-0.5215,-0.3703,0.7687
CP4h,0.5215,-0.3703,0.7687
FC1h,-0.1829,0.3813,0.9062
FC2h,0.1829,0.3813,0.9062
CP1h,-0.1829,-0.3813,0.9062
CP2h,0.1829,-0.3813,0.9062
AF3,-0.3822,0.8869,0.2595
AF4,0.3822,0.8869,0.2595
PO3,-0.3822,-0.8869,0.2595
PO4,0.3822,-0.8869,0.2595
AF5,-0.508,0.8503,0.1376
AF6,0.508,0.8503,0.1376
PO5,-0.508,-0.8503,0.1376
PO6,0.508,-0.8503,0.1376
AF1,-0.2063,0.9139,0.3495
AF2,0.2063,0.9139,0.3495
PO1,-0.2063,-0.9139,0.3495
PO2,0.2063,-0.9139,0.3495
AF7h,-0.5534,0.83,0.0698
AF8h,0.5534,0.83,0.0698
PO7h,-0.5534,-0.83,0.0698
PO8h,0.5534,-0.83,0.0698
AF5h,-0.4509,0.8695,0.2016
AF6h,0.4509,0.8695,0.2016
PO5h,-0.4509,-0.8695,0.2016
PO6h,0.4509,-0.8695,0.2016
AF3h,-0.2994,0.9022,0.3105
AF4h,0.2994,0.9022,0.3105
PO3h,-0.2994,-0.9022,0.3105
PO4h,0.2994,-0.9022,0.3105
AF1h,-0.1052,0.9213,0.3742
AF2h,0.1052,0.9213,0.3742
PO1h,-0.1052,-0.9213,0.3742
PO2h,0.1052,-0.9213,0.3742
AFp3,-0.2866,0.9496,0.1273
AFp4,0.2866,0.9496,0.1273
POO3,-0.2866,-0.9496,0.1273
POO4,0.2866,-0.9496,0.1273
AFp5,-0.3827,0.9215,0.0663
AFp6,0.3827,0.9215,0.0663
POO5,-0.3827,-0.9215,0.0663
POO6,0.3827,-0.9215,0.0663
AFp1,-0.1554,0.972,0.1761
AFp2,0.1554,0.972,0.1761
POO1,-0.1554,-0.972,0.1761
POO2,0.1554,-0.972,0.1761
AFF3,-0.4706,0.7935,0.3859
AFF4,0.4706,0.7935,0.3859
PPO3,-0.4706,-0.7935,0.3859
PPO4,0.4706,-0.7935,0.3859
AFF5,-0.6239,0.7535,0.2073
AFF6,0.6239,0.7535,0.2073
PPO5,-0.6239,-0.7535,0.2073
PPO6,0.6239,-0.7535,0.2073
AFF1,-0.2535,0.8215,0.5108
AFF2,0.2535,0.8215,0.5108
PPO1,-0.2535,-0.8215,0.5108
